"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Inner Mongolia Autonomous Region","Baotou",6,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Bayannur",3,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Chifeng",2,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Hinggan League",1,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Hohhot",4,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Hulunbuir",4,0,0,0,2,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Ordos",9,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Tongliao",1,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Ulanqab",3,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Wuhai",1,0,0,0,0,"2020-02-03"
"China","Inner Mongolia Autonomous Region","Xilingol League",2,0,0,0,0,"2020-02-03"
"China","Jiangsu Province","Changzhou",15,0,0,0,0,"2020-02-03"
"China","Jiangsu Province","Huai'an",18,0,0,0,1,"2020-02-03"
"China","Jiangsu Province","Lianyungang",14,0,0,0,1,"2020-02-03"
"China","Jiangsu Province","Nanjing",40,0,0,0,2,"2020-02-03"
"China","Jiangsu Province","Nantong",19,0,0,0,0,"2020-02-03"
"China","Jiangsu Province","Suqian",9,0,0,0,0,"2020-02-03"
"China","Jiangsu Province","Suzhou",44,0,0,0,3,"2020-02-03"
"China","Jiangsu Province","Taizhou",21,0,0,0,0,"2020-02-03"
"China","Jiangsu Province","Wuxi",23,0,0,0,1,"2020-02-03"
"China","Jiangsu Province","Xuzhou",36,0,0,0,0,"2020-02-03"
"China","Jiangsu Province","Yancheng",15,0,0,0,0,"2020-02-03"
"China","Jiangsu Province","Yangzhou",14,0,0,0,0,"2020-02-03"
