"city","province","prefecture","country","travel_advisor","travel_restriction_date_start1","travel_restriction_date_end1","strict_restrictions_prefecture","travel_restriction_date_start2","travel_restriction_date_end2","notes","tr_source","Accessed_date","who_by","tr_source2","accessed_date2","who_by2","notes2"
"Xiaogan City","Hubei Province","Xiaogan","China",NA,2020-01-23,2020-03-25,"yes",NA,NA,NA,"https://www.ettoday.net/news/20200210/1642382.htm",2020-04-15,"TCO","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"Huangshi City","Hubei Province","Huangshi","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,NA,"https://www.ettoday.net/news/20200210/1642382.htm",2020-04-15,"TCO",NA,NA,NA,NA
"Nanjing City","Jiangsu Province","Nanjing","China",NA,2020-02-04,2020-02-24,"yes",NA,NA,"Since February 19, no new confirmed cases have been found in Jiangsu，province, China for 6 consecutive days. The People's Government of Jiangsu Province decided to adjust the emergency response level of epidemic prevention and control from so-called wartime control measures (the first-level response) to the second-level response since 24:00 on February 24.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW",NA,NA,NA,NA
"Nantong City","Jiangsu Province","Nantong","China",NA,2020-02-04,2020-02-24,"yes",NA,NA,"Since February 19, no new confirmed cases have been found in Jiangsu，province, China for 6 consecutive days. The People's Government of Jiangsu Province decided to adjust the emergency response level of epidemic prevention and control from so-called wartime control measures (the first-level response) to the second-level response since 24:00 on February 24.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW",NA,NA,NA,NA
"Xuzhou City","Jiangsu Province","Xuzhou","China",NA,2020-02-04,2020-02-24,"yes",NA,NA,"Since February 19, no new confirmed cases have been found in Jiangsu，province, China for 6 consecutive days. The People's Government of Jiangsu Province decided to adjust the emergency response level of epidemic prevention and control from so-called wartime control measures (the first-level response) to the second-level response since 24:00 on February 24.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW",NA,NA,NA,NA
"Jingdezhen CIty","Jiangxi Province","Jingdezhen","China",NA,2020-02-04,2020-03-21,"yes",NA,NA,"closed management","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Nanchang","China",NA,2020-02-05,2020-03-21,"yes",NA,NA,"closed management","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jilin Province","Changchun","China",NA,2020-01-28,2020-02-26,"yes",NA,NA,"intercity buses suspended","http://en.changchun.gov.cn/xw/ccxw1/202002/t20200205_2077406.html",2020-02-14,"ARW","http://en.nhc.gov.cn/2020-05/19/c_80281.htm","2020-05-21","TCO",NA
NA,"Jilin Province",NA,"China",NA,2020-01-26,NA,NA,NA,NA,"interprovincial buses suspended","http://en.changchun.gov.cn/xw/ccxw1/202002/t20200205_2077406.html",2020-02-14,"ARW",NA,NA,NA,NA
"Wuzhong City","Ningxia Hui Autonomous Region","Wuzhong","China",NA,2020-01-31,2020-02-28,"yes",NA,NA,"Ningxia downgraded its emergency response from the top level to the second level on Feb. 28.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-05/07/c_79922.htm","2020-05-22","TCO",NA
"Yinchuan City","Ningxia Hui Autonomous Region","Yinchuan","China",NA,2020-01-31,2020-02-28,"yes",NA,NA,"Ningxia downgraded its emergency response from the top level to the second level on Feb. 28.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-05/07/c_79922.htm","2020-05-22","TCO",NA
"Xian","Shaanxi Province","Xi'an","China",NA,2020-01-25,NA,NA,NA,NA,"interprovincial road passenger transport","http://companies.caixin.com/2020-01-26/101508589.html",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Shandong Province","Jinan","China",NA,2020-02-05,2020-03-08,"yes",NA,NA,"closed management; Shandong lowered the emergency response from the top level to the second level","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://www.xinhuanet.com/english/2020-03/08/c_138853763.htm","2020-05-22","TCO",NA
"Qingdao","Shandong Province","Qingdao","China",NA,2020-02-05,2020-03-08,"yes",NA,NA,"closed management; Shandong lowered the emergency response from the top level to the second level","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://www.xinhuanet.com/english/2020-03/08/c_138853763.htm","2020-05-22","TCO",NA
NA,"Shandong Province","Rizhao","China",NA,2020-02-05,2020-03-08,"yes",NA,NA,"closed management; Shandong lowered the emergency response from the top level to the second level","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://www.xinhuanet.com/english/2020-03/08/c_138853763.htm","2020-05-22","TCO",NA
NA,"Shandong Province","Tai'an","China",NA,2020-02-05,2020-03-08,"yes",NA,NA,"closed management; Shandong lowered the emergency response from the top level to the second level","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://www.xinhuanet.com/english/2020-03/08/c_138853763.htm","2020-05-22","TCO",NA
NA,"Shandong Province",NA,"China",NA,2020-01-25,NA,NA,NA,NA,"interprovincial road passenger transport","http://companies.caixin.com/2020-01-26/101508589.html",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Shanghai","Shanghai","China",NA,2020-01-25,2020-03-24,"yes",NA,NA,"interprovincial road passenger transport; Shanghai will lower its public health emergency response to the COVID-19 epidemic from the highest to the second-highest level on Mar 24, according to the Shanghai municipal government.","http://companies.caixin.com/2020-01-26/101508589.html",2020-02-08,"ARW","http://en.nhc.gov.cn/2020-03/23/c_78146.htm","2020-05-22","TCO",NA
NA,"Sichuan Province","Chengdu","China",NA,2020-02-08,2020-03-04,"yes",NA,NA,"As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Sichuan Province","Neijiang","China",NA,2020-02-06,2020-03-04,"yes",NA,NA,"closed management; As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Sichuan Province","Yibin","China",NA,2020-02-06,2020-03-04,"yes",NA,NA,"closed management; As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
"Tianjin","Tianjin Municipality","Tianjin Municipality","China",NA,2020-02-06,2020-04-30,"yes",NA,NA,"travel restrictions;  Hebei province and Tianjin municipality will also lower their emergency response to COVID-19 from the top level to the second level starting on Thursday morning, according to their governments, which means that by then, only Hubei province will still maintain the Grade 1 response.","https://www.usnews.com/news/world/articles/2020-02-06/chinas-tianjin-restricts-entry-exit-to-homes-to-prevent-virus-spread",2020-02-08,"ARW","http://en.nhc.gov.cn/2020-04/30/c_79789.htm","2020-05-22","TCO",NA
NA,"Tianjin Municipality","Tianjin Municipality","China",NA,2020-01-25,2020-04-30,"yes",NA,NA,"interprovincial road passenger transport;  Hebei province and Tianjin municipality will also lower their emergency response to COVID-19 from the top level to the second level starting on Thursday morning, according to their governments, which means that by then, only Hubei province will still maintain the Grade 1 response.","http://companies.caixin.com/2020-01-26/101508589.html",2020-02-08,"ARW","http://en.nhc.gov.cn/2020-04/30/c_79789.htm","2020-05-22","TCO",NA
NA,"Yunnan Province","Kunming","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management; nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
