"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"142","Kansas","KS",2020-03-19 19:28:58,2020-03-01,1,353,19,0,10
"143","Kansas","KS",2020-03-19 19:28:58,2020-03-08,7,2825,56,0,11
"144","Kansas","KS",2020-03-19 19:28:58,2020-03-15,26,11855,170,0,12
"145","Kentucky","KY",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"146","Kentucky","KY",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"147","Kentucky","KY",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"148","Kentucky","KY",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"149","Kentucky","KY",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"150","Kentucky","KY",2020-03-19 19:28:58,2020-03-01,1,353,19,0,10
"151","Kentucky","KY",2020-03-19 19:28:58,2020-03-08,15,2825,56,0,11
"152","Kentucky","KY",2020-03-19 19:28:58,2020-03-15,24,11855,170,0,12
"153","Louisiana","LA",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"154","Louisiana","LA",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"155","Louisiana","LA",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"156","Louisiana","LA",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"157","Louisiana","LA",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"158","Louisiana","LA",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"159","Louisiana","LA",2020-03-19 19:28:58,2020-03-08,77,2825,56,0,11
"160","Louisiana","LA",2020-03-19 19:28:58,2020-03-15,270,11855,170,0,12
"161","Maine","ME",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"162","Maine","ME",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"163","Maine","ME",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"164","Maine","ME",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"165","Maine","ME",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"166","Maine","ME",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"167","Maine","ME",2020-03-19 19:28:58,2020-03-08,3,2825,56,0,11
"168","Maine","ME",2020-03-19 19:28:58,2020-03-15,49,11855,170,0,12
"169","Maryland","MD",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"170","Maryland","MD",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"171","Maryland","MD",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"172","Maryland","MD",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"173","Maryland","MD",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"174","Maryland","MD",2020-03-19 19:28:58,2020-03-01,3,353,19,0,10
"175","Maryland","MD",2020-03-19 19:28:58,2020-03-08,23,2825,56,0,11
"176","Maryland","MD",2020-03-19 19:28:58,2020-03-15,81,11855,170,0,12
