"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Warren","284","8","36"
"Male","Warren","223","12","22"
"Unknown","Warren","8","0","0"
"Female","Washington","1269","41","69"
"Male","Washington","1097","39","65"
"Unknown","Washington","3","0","0"
"Female","Wayne","2279","78","189"
"Male","Wayne","2107","78","199"
"Unknown","Wayne","8","0","1"
"Female","Webster","101","3","13"
"Male","Webster","73","3","10"
"Unknown","Webster","2","0","0"
"Female","Wheeler","238","5","7"
"Male","Wheeler","367","26","36"
"Unknown","Wheeler","10","0","0"
"Female","White","2418","51","193"
"Male","White","2134","64","218"
"Unknown","White","13","0","1"
"Female","Whitfield","10294","143","472"
"Male","Whitfield","9206","183","485"
"Unknown","Whitfield","34","0","4"
"Female","Wilcox","298","12","32"
"Male","Wilcox","342","20","52"
"Unknown","Wilcox","3","0","0"
"Female","Wilkes","476","10","51"
"Male","Wilkes","412","17","60"
"Unknown","Wilkes","4","0","0"
"Female","Wilkinson","601","22","68"
"Male","Wilkinson","501","19","79"
"Unknown","Wilkinson","9","0","1"
"Female","Worth","1001","41","133"
"Male","Worth","769","37","103"
"Unknown","Worth","7","0","0"
