"age group","county name","cases","deaths","hospitalization"
"Unknown years","Columbia","3","0","0"
"01-04 years","Cook","9","0","0"
"05-09 years","Cook","13","0","0"
"10-17 years","Cook","75","0","1"
"18-29 years","Cook","166","0","3"
"30-39 years","Cook","130","0","4"
"40-49 years","Cook","131","0","11"
"50-59 years","Cook","106","1","15"
"60-69 years","Cook","87","5","12"
"70-79 years","Cook","64","9","18"
"80 & Older years","Cook","28","4","8"
"<1 years","Cook","5","0","0"
"Unknown years","Cook","5","0","0"
"01-04 years","Coweta","48","0","0"
"05-09 years","Coweta","70","0","0"
"10-17 years","Coweta","245","0","0"
"18-29 years","Coweta","818","1","12"
"30-39 years","Coweta","581","0","17"
"40-49 years","Coweta","591","3","23"
"50-59 years","Coweta","654","7","38"
"60-69 years","Coweta","421","18","33"
"70-79 years","Coweta","239","16","36"
"80 & Older years","Coweta","144","26","25"
"<1 years","Coweta","13","0","0"
"Unknown years","Coweta","7","0","0"
"01-04 years","Crawford","1","0","0"
"05-09 years","Crawford","1","0","0"
"10-17 years","Crawford","12","0","0"
"18-29 years","Crawford","47","0","1"
"30-39 years","Crawford","33","0","2"
"40-49 years","Crawford","22","0","2"
"50-59 years","Crawford","56","1","7"
"60-69 years","Crawford","48","3","10"
"70-79 years","Crawford","12","2","4"
"80 & Older years","Crawford","8","0","2"
"01-04 years","Crisp","10","0","0"
"05-09 years","Crisp","10","0","0"
"10-17 years","Crisp","39","0","0"
"18-29 years","Crisp","126","0","7"
"30-39 years","Crisp","122","0","9"
"40-49 years","Crisp","106","1","9"
"50-59 years","Crisp","109","3","15"
"60-69 years","Crisp","110","8","21"
"70-79 years","Crisp","54","7","21"
"80 & Older years","Crisp","34","7","9"
"<1 years","Crisp","5","0","0"
"Unknown years","Crisp","13","0","0"
"01-04 years","Dade","3","0","0"
"05-09 years","Dade","13","0","0"
"10-17 years","Dade","49","0","0"
"18-29 years","Dade","102","0","1"
"30-39 years","Dade","68","0","1"
"40-49 years","Dade","85","0","5"
"50-59 years","Dade","82","1","6"
"60-69 years","Dade","62","0","3"
"70-79 years","Dade","47","5","12"
"80 & Older years","Dade","29","1","8"
"<1 years","Dade","4","0","0"
"Unknown years","Dade","9","0","1"
"01-04 years","Dawson","10","0","0"
"05-09 years","Dawson","19","0","0"
"10-17 years","Dawson","95","0","3"
"18-29 years","Dawson","269","0","8"
"30-39 years","Dawson","160","0","3"
"40-49 years","Dawson","156","0","15"
"50-59 years","Dawson","203","0","16"
"60-69 years","Dawson","157","1","34"
"70-79 years","Dawson","93","7","23"
"80 & Older years","Dawson","33","3","11"
"<1 years","Dawson","5","0","0"
"Unknown years","Dawson","10","0","2"
"01-04 years","DeKalb","340","0","11"
"05-09 years","DeKalb","476","0","5"
"10-17 years","DeKalb","1397","0","34"
"18-29 years","DeKalb","6718","7","249"
"30-39 years","DeKalb","5693","13","347"
"40-49 years","DeKalb","4458","21","378"
"50-59 years","DeKalb","3927","52","501"
"60-69 years","DeKalb","2414","93","512"
"70-79 years","DeKalb","1276","122","393"
"80 & Older years","DeKalb","752","141","254"
"<1 years","DeKalb","91","0","5"
"Unknown years","DeKalb","78","0","6"
"01-04 years","Decatur","32","0","1"
"05-09 years","Decatur","43","0","0"
"10-17 years","Decatur","122","0","0"
"18-29 years","Decatur","289","1","6"
"30-39 years","Decatur","219","1","7"
"40-49 years","Decatur","218","0","15"
"50-59 years","Decatur","186","4","22"
"60-69 years","Decatur","141","10","24"
"70-79 years","Decatur","84","15","17"
"80 & Older years","Decatur","80","10","15"
"<1 years","Decatur","6","0","0"
"01-04 years","Dodge","4","0","0"
"05-09 years","Dodge","13","0","0"
"10-17 years","Dodge","46","1","1"
"18-29 years","Dodge","112","0","0"
"30-39 years","Dodge","66","0","1"
"40-49 years","Dodge","120","1","10"
"50-59 years","Dodge","138","3","10"
"60-69 years","Dodge","113","8","19"
"70-79 years","Dodge","64","12","11"
"80 & Older years","Dodge","48","14","14"
"<1 years","Dodge","2","0","0"
"Unknown years","Dodge","1","0","0"
"01-04 years","Dooly","9","0","0"
"05-09 years","Dooly","3","0","0"
"10-17 years","Dooly","18","0","0"
"18-29 years","Dooly","65","0","5"
"30-39 years","Dooly","62","0","7"
"40-49 years","Dooly","79","0","7"
"50-59 years","Dooly","77","4","11"
"60-69 years","Dooly","76","7","16"
"70-79 years","Dooly","33","4","10"
"80 & Older years","Dooly","15","3","3"
"<1 years","Dooly","1","0","0"
"Unknown years","Dooly","2","0","0"
"01-04 years","Dougherty","24","0","3"
"05-09 years","Dougherty","40","0","0"
"10-17 years","Dougherty","127","0","3"
"18-29 years","Dougherty","595","2","56"
"30-39 years","Dougherty","504","3","55"
"40-49 years","Dougherty","551","12","86"
"50-59 years","Dougherty","616","18","118"
"60-69 years","Dougherty","527","49","165"
"70-79 years","Dougherty","311","50","128"
"80 & Older years","Dougherty","192","65","84"
"<1 years","Dougherty","14","0","1"
"Unknown years","Dougherty","1","0","0"
"01-04 years","Douglas","59","0","1"
"05-09 years","Douglas","95","0","3"
"10-17 years","Douglas","300","0","3"
"18-29 years","Douglas","1121","0","37"
"30-39 years","Douglas","864","3","44"
"40-49 years","Douglas","979","4","79"
"50-59 years","Douglas","848","10","106"
"60-69 years","Douglas","484","16","108"
"70-79 years","Douglas","295","29","90"
"80 & Older years","Douglas","144","24","60"
"<1 years","Douglas","7","0","1"
"Unknown years","Douglas","87","0","0"
"01-04 years","Early","14","0","0"
"05-09 years","Early","14","0","0"
"10-17 years","Early","45","0","0"
"18-29 years","Early","100","0","3"
"30-39 years","Early","88","0","3"
"40-49 years","Early","109","1","7"
"50-59 years","Early","95","3","8"
"60-69 years","Early","74","11","10"
"70-79 years","Early","49","11","7"
"80 & Older years","Early","32","11","7"
"<1 years","Early","2","0","0"
"01-04 years","Echols","4","0","0"
"05-09 years","Echols","4","0","0"
"10-17 years","Echols","18","0","1"
"18-29 years","Echols","114","0","1"
"30-39 years","Echols","47","0","2"
"40-49 years","Echols","31","0","1"
"50-59 years","Echols","32","0","2"
"60-69 years","Echols","17","0","0"
"70-79 years","Echols","11","2","3"
"<1 years","Echols","1","0","0"
"Unknown years","Echols","3","0","0"
"01-04 years","Effingham","28","0","1"
"05-09 years","Effingham","47","0","0"
"10-17 years","Effingham","191","0","0"
"18-29 years","Effingham","430","0","3"
"30-39 years","Effingham","328","1","11"
"40-49 years","Effingham","357","0","16"
"50-59 years","Effingham","351","6","26"
"60-69 years","Effingham","212","3","30"
"70-79 years","Effingham","123","11","30"
"80 & Older years","Effingham","56","11","18"
"<1 years","Effingham","6","0","0"
"Unknown years","Effingham","12","0","1"
"01-04 years","Elbert","9","0","0"
"05-09 years","Elbert","19","0","0"
"10-17 years","Elbert","58","0","0"
"18-29 years","Elbert","174","0","0"
"30-39 years","Elbert","118","0","6"
"40-49 years","Elbert","133","0","8"
"50-59 years","Elbert","144","0","10"
"60-69 years","Elbert","117","1","16"
"70-79 years","Elbert","97","8","21"
"80 & Older years","Elbert","79","12","23"
"<1 years","Elbert","6","0","2"
"Unknown years","Elbert","1","0","0"
"01-04 years","Emanuel","16","0","1"
"05-09 years","Emanuel","16","0","0"
"10-17 years","Emanuel","129","0","2"
"18-29 years","Emanuel","224","1","0"
"30-39 years","Emanuel","178","0","7"
"40-49 years","Emanuel","211","1","7"
"50-59 years","Emanuel","193","4","19"
"60-69 years","Emanuel","166","7","20"
"70-79 years","Emanuel","101","15","23"
"80 & Older years","Emanuel","48","15","15"
"<1 years","Emanuel","4","0","0"
"Unknown years","Emanuel","7","0","1"
"01-04 years","Evans","7","0","0"
"05-09 years","Evans","13","0","0"
"10-17 years","Evans","52","0","0"
"18-29 years","Evans","106","1","3"
"30-39 years","Evans","92","0","3"
"40-49 years","Evans","80","0","8"
"50-59 years","Evans","83","1","13"
"60-69 years","Evans","45","2","11"
"70-79 years","Evans","31","3","10"
"80 & Older years","Evans","14","1","4"
"<1 years","Evans","2","0","0"
"Unknown years","Evans","2","0","0"
"01-04 years","Fannin","6","0","0"
"05-09 years","Fannin","14","0","0"
"10-17 years","Fannin","52","0","0"
"18-29 years","Fannin","149","0","2"
"30-39 years","Fannin","107","0","4"
"40-49 years","Fannin","130","0","6"
"50-59 years","Fannin","174","3","12"
"60-69 years","Fannin","187","4","18"
"70-79 years","Fannin","137","1","21"
"80 & Older years","Fannin","84","22","28"
"<1 years","Fannin","3","0","0"
"Unknown years","Fannin","9","0","0"
"01-04 years","Fayette","25","0","0"
"05-09 years","Fayette","35","0","1"
"10-17 years","Fayette","204","0","2"
"18-29 years","Fayette","612","0","5"
"30-39 years","Fayette","330","1","6"
"40-49 years","Fayette","470","1","17"
"50-59 years","Fayette","487","3","27"
"60-69 years","Fayette","369","11","29"
"70-79 years","Fayette","197","21","43"
"80 & Older years","Fayette","126","25","27"
"<1 years","Fayette","2","0","0"
"Unknown years","Fayette","20","0","0"
"01-04 years","Floyd","68","0","3"
"05-09 years","Floyd","113","0","0"
"10-17 years","Floyd","528","0","7"
"18-29 years","Floyd","1139","0","17"
"30-39 years","Floyd","837","2","31"
"40-49 years","Floyd","787","1","41"
"50-59 years","Floyd","715","13","78"
"60-69 years","Floyd","530","19","100"
"70-79 years","Floyd","355","18","101"
"80 & Older years","Floyd","204","30","63"
"<1 years","Floyd","23","0","1"
"Unknown years","Floyd","51","0","2"
"01-04 years","Forsyth","67","0","1"
"05-09 years","Forsyth","148","0","0"
"10-17 years","Forsyth","601","0","2"
"18-29 years","Forsyth","1525","0","31"
"30-39 years","Forsyth","937","0","38"
"40-49 years","Forsyth","1149","2","62"
"50-59 years","Forsyth","1076","8","87"
"60-69 years","Forsyth","550","6","76"
"70-79 years","Forsyth","342","21","96"
"80 & Older years","Forsyth","198","28","69"
"<1 years","Forsyth","22","0","2"
"Unknown years","Forsyth","65","0","0"
"01-04 years","Franklin","7","0","0"
"05-09 years","Franklin","25","0","0"
"10-17 years","Franklin","102","0","4"
"18-29 years","Franklin","246","0","4"
"30-39 years","Franklin","168","0","2"
"40-49 years","Franklin","186","0","10"
"50-59 years","Franklin","194","0","15"
"60-69 years","Franklin","155","2","18"
"70-79 years","Franklin","84","9","17"
"80 & Older years","Franklin","47","8","15"
"<1 years","Franklin","3","0","1"
"Unknown years","Franklin","25","0","2"
"01-04 years","Fulton","393","0","12"
"05-09 years","Fulton","590","0","7"
"10-17 years","Fulton","2015","1","28"
"18-29 years","Fulton","11597","4","243"
"30-39 years","Fulton","7828","13","347"
"40-49 years","Fulton","5933","27","409"
"50-59 years","Fulton","5064","59","544"
"60-69 years","Fulton","3034","123","516"
"70-79 years","Fulton","1625","166","431"
"80 & Older years","Fulton","1254","290","417"
"<1 years","Fulton","111","0","4"
"Unknown years","Fulton","122","0","5"
"01-04 years","Gilmer","20","0","1"
"05-09 years","Gilmer","16","0","0"
"10-17 years","Gilmer","96","0","2"
"18-29 years","Gilmer","179","0","8"
"30-39 years","Gilmer","171","0","10"
