"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Charlton","1662","US-13049","13","49","13251","98","40","12542.45","301.86","369.78","49","467","11"
"Chatham","31916","US-13051","13","51","292176","2399","558","10923.55","190.98","366.56","1071","5271","35"
"Chattahoochee","4636","US-13053","13","53","10749","37","13","43129.59","120.94","2130.43","229","744","4"
"Chattooga","3495","US-13055","13","55","24766","230","78","14112.09","314.95","981.18","243","830","10"
"Cherokee","30073","US-13057","13","57","266617","1720","379","11279.48","142.15","381.82","1018","11820","25"
"Clarke","16871","US-13059","13","59","129779","697","158","12999.79","121.75","519.34","674","2600","7"
"Clay","231","US-13061","13","61","2855","13","4","8091.07","140.11","175.13","5","80","0"
"Clayton","33578","US-13063","13","63","304838","1935","601","11015.03","197.15","631.81","1926","3990","30"
"Clinch","1041","US-13065","13","65","6656","78","30","15640.02","450.72","796.27","53","338","2"
"Cobb","81125","US-13067","13","67","790588","3894","1159","10261.35","146.6","405.52","3206","23571","100"
"Coffee","6084","US-13069","13","69","43042","845","166","14135.03","385.67","406.58","175","1468","38"
"Colquitt","5329","US-13071","13","71","45393","315","112","11739.7","246.73","409.75","186","1852","51"
"Columbia","14263","US-13073","13","73","158631","618","207","8991.31","130.49","260.98","414","9680","47"
"Cook","1645","US-13075","13","75","17437","121","49","9433.96","281.01","235.13","41","1889","5"
"Coweta","12216","US-13077","13","77","152001","699","278","8036.79","182.89","351.31","534","7770","19"
"Crawford","800","US-13079","13","79","12228","90","33","6542.36","269.87","457.97","56","286","2"
"Crisp","1813","US-13081","13","81","22289","181","62","8134.06","278.16","260.22","58","1233","41"
"Dade","1722","US-13083","13","83","16162","66","15","10654.62","92.81","402.18","65","313","2"
"Dawson","4005","US-13085","13","85","27021","307","54","14821.81","199.84","632.84","171","465","1"
"DeKalb","75759","US-13089","13","89","793154","5898","1104","9551.61","139.19","365.88","2902","11056","92"
"Decatur","3293","US-13087","13","87","26322","204","73","12510.45","277.33","771.22","203","1246","19"
"Dodge","1487","US-13091","13","91","20385","119","57","7294.58","279.62","304.15","62","2002","58"
"Dooly","1041","US-13093","13","93","13400","97","35","7768.66","261.19","238.81","32","543","17"
"Dougherty","8588","US-13095","13","95","89905","1258","347","9552.31","385.96","506.09","455","3189","24"
"Douglas","16782","US-13097","13","97","151906","1038","215","11047.62","141.53","460.81","700","4565","47"
"Early","1509","US-13099","13","99","10146","96","50","14872.86","492.81","354.82","36","280","6"
"Echols","401","US-13101","13","101","3969","13","4","10103.3","100.78","125.98","5","300","5"
"Effingham","6748","US-13103","13","103","64026","423","118","10539.47","184.3","351.42","225","1785","13"
"Elbert","1931","US-13105","13","105","18945","164","64","10192.66","337.82","427.55","81","1133","16"
"Emanuel","2632","US-13107","13","107","22664","152","61","11613.13","269.15","335.33","76","1631","38"
"Evans","1125","US-13109","13","109","10687","103","29","10526.81","271.36","364.93","39","426","15"
"Fannin","3039","US-13111","13","111","26320","229","83","11546.35","315.35","478.72","126","528","10"
"Fayette","9343","US-13113","13","113","117544","528","185","7948.51","157.39","338.6","398","3316","20"
