"province","date_recovered","recovered","cumulative_recovered"
"BC",2020-11-19,293,17207
"BC",2020-11-20,270,17477
"BC",2020-11-21,0,17477
"BC",2020-11-22,0,17477
"BC",2020-11-23,1592,19069
"BC",2020-11-24,536,19605
"BC",2020-11-25,209,19814
"BC",2020-11-26,184,19998
"BC",2020-11-27,1306,21304
"BC",2020-11-28,0,21304
"BC",2020-11-29,0,21304
"BC",2020-11-30,1807,23111
"BC",2020-12-01,663,23774
"BC",2020-12-02,650,24424
"BC",2020-12-03,504,24928
"BC",2020-12-04,730,25658
"BC",2020-12-05,0,25658
"BC",2020-12-06,0,25658
"BC",2020-12-07,1629,27287
"BC",2020-12-08,610,27897
"BC",2020-12-09,551,28448
"BC",2020-12-10,500,28948
"BC",2020-12-11,650,29598
"BC",2020-12-12,0,29598
"BC",2020-12-13,0,29598
"BC",2020-12-14,1609,31207
"BC",2020-12-15,659,31866
"BC",2020-12-16,510,32376
"BC",2020-12-17,587,32963
"BC",2020-12-18,626,33589
"BC",2020-12-19,0,33589
"BC",2020-12-20,0,33589
"BC",2020-12-21,1866,35455
"BC",2020-12-22,639,36094
"BC",2020-12-23,858,36952
"BC",2020-12-24,832,37784
"BC",2020-12-25,0,37784
"BC",2020-12-26,0,37784
"BC",2020-12-27,0,37784
"BC",2020-12-28,0,37784
"BC",2020-12-29,3391,41175
"BC",2020-12-30,506,41681
"BC",2020-12-31,448,42129
"BC",2021-01-01,0,42129
"BC",2021-01-02,0,42129
"BC",2021-01-03,0,42129
"BC",2021-01-04,3100,45229
"BC",2021-01-05,770,45999
"BC",2021-01-06,729,46728
"BC",2021-01-07,646,47374
"BC",2021-01-08,831,48205
"BC",2021-01-09,0,48205
"BC",2021-01-10,0,48205
"BC",2021-01-11,2336,50541
"BC",2021-01-12,603,51144
"BC",2021-01-13,749,51893
"BC",2021-01-14,712,52605
"BC",2021-01-15,510,53115
"BC",2021-01-16,0,53115
"BC",2021-01-17,0,53115
"BC",2021-01-18,1541,54656
"BC",2021-01-19,443,55099
"BC",2021-01-20,465,55564
"BC",2021-01-21,446,56010
"BC",2021-01-22,445,56455
"BC",2021-01-23,0,56455
"BC",2021-01-24,0,56455
"BC",2021-01-25,1376,57831
"BC",2021-01-26,521,58352
"BC",2021-01-27,426,58778
"BC",2021-01-28,363,59141
"BC",2021-01-29,410,59551
"BC",2021-01-30,0,59551
"BC",2021-01-31,0,59551
"BC",2021-02-01,1566,61117
"Manitoba",2020-02-12,0,0
"Manitoba",2020-02-13,0,0
"Manitoba",2020-02-14,0,0
"Manitoba",2020-02-15,0,0
"Manitoba",2020-02-16,0,0
"Manitoba",2020-02-17,0,0
"Manitoba",2020-02-18,0,0
"Manitoba",2020-02-19,0,0
"Manitoba",2020-02-20,0,0
"Manitoba",2020-02-21,0,0
"Manitoba",2020-02-22,0,0
"Manitoba",2020-02-23,0,0
"Manitoba",2020-02-24,0,0
"Manitoba",2020-02-25,0,0
"Manitoba",2020-02-26,0,0
"Manitoba",2020-02-27,0,0
"Manitoba",2020-02-28,0,0
"Manitoba",2020-02-29,0,0
"Manitoba",2020-03-01,0,0
"Manitoba",2020-03-02,0,0
"Manitoba",2020-03-03,0,0
"Manitoba",2020-03-04,0,0
"Manitoba",2020-03-05,0,0
"Manitoba",2020-03-06,0,0
"Manitoba",2020-03-07,0,0
"Manitoba",2020-03-08,0,0
"Manitoba",2020-03-09,0,0
"Manitoba",2020-03-10,0,0
"Manitoba",2020-03-11,0,0
"Manitoba",2020-03-12,0,0
"Manitoba",2020-03-13,0,0
"Manitoba",2020-03-14,0,0
"Manitoba",2020-03-15,0,0
"Manitoba",2020-03-16,0,0
"Manitoba",2020-03-17,0,0
"Manitoba",2020-03-18,0,0
"Manitoba",2020-03-19,0,0
"Manitoba",2020-03-20,0,0
"Manitoba",2020-03-21,0,0
"Manitoba",2020-03-22,0,0
"Manitoba",2020-03-23,0,0
"Manitoba",2020-03-24,0,0
"Manitoba",2020-03-25,0,0
"Manitoba",2020-03-26,0,0
"Manitoba",2020-03-27,0,0
"Manitoba",2020-03-28,0,0
"Manitoba",2020-03-29,2,2
"Manitoba",2020-03-30,0,2
"Manitoba",2020-03-31,2,4
"Manitoba",2020-04-01,0,4
"Manitoba",2020-04-02,7,11
"Manitoba",2020-04-03,0,11
"Manitoba",2020-04-04,6,17
"Manitoba",2020-04-05,0,17
"Manitoba",2020-04-06,0,17
"Manitoba",2020-04-07,4,21
"Manitoba",2020-04-08,48,69
"Manitoba",2020-04-09,7,76
"Manitoba",2020-04-10,16,92
"Manitoba",2020-04-11,4,96
"Manitoba",2020-04-12,0,96
"Manitoba",2020-04-13,3,99
"Manitoba",2020-04-14,0,99
"Manitoba",2020-04-15,9,108
"Manitoba",2020-04-16,13,121
"Manitoba",2020-04-17,11,132
"Manitoba",2020-04-18,8,140
"Manitoba",2020-04-19,3,143
"Manitoba",2020-04-20,1,144
"Manitoba",2020-04-21,6,150
"Manitoba",2020-04-22,4,154
"Manitoba",2020-04-23,20,174
"Manitoba",2020-04-24,22,196
"Manitoba",2020-04-25,3,199
"Manitoba",2020-04-26,0,199
"Manitoba",2020-04-27,6,205
"Manitoba",2020-04-28,4,209
"Manitoba",2020-04-29,4,213
"Manitoba",2020-04-30,7,220
"Manitoba",2020-05-01,15,235
"Manitoba",2020-05-02,1,236
"Manitoba",2020-05-03,1,237
"Manitoba",2020-05-04,1,238
"Manitoba",2020-05-05,0,238
"Manitoba",2020-05-06,4,242
"Manitoba",2020-05-07,1,243
"Manitoba",2020-05-08,4,247
"Manitoba",2020-05-09,0,247
"Manitoba",2020-05-10,0,247
"Manitoba",2020-05-11,0,247
"Manitoba",2020-05-12,4,251
"Manitoba",2020-05-13,0,251
"Manitoba",2020-05-14,1,252
"Manitoba",2020-05-15,2,254
"Manitoba",2020-05-16,3,257
"Manitoba",2020-05-17,0,257
"Manitoba",2020-05-18,0,257
"Manitoba",2020-05-19,0,257
"Manitoba",2020-05-20,3,260
"Manitoba",2020-05-21,5,265
"Manitoba",2020-05-22,2,267
"Manitoba",2020-05-23,1,268
"Manitoba",2020-05-24,0,268
"Manitoba",2020-05-25,0,268
