"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Chatham","9446","US-13051","13","51","292176","833","187","3232.98","64","161.55","472"
"Chattahoochee","1747","US-13053","13","53","10749","14","1","16252.67","9.3","381.43","41"
"Chattooga","944","US-13055","13","55","24766","66","29","3811.68","117.1","363.4","90"
"Cherokee","7161","US-13057","13","57","266617","533","102","2685.88","38.26","204.41","545"
"Clarke","5748","US-13059","13","59","129779","245","48","4429.07","36.99","201.88","262"
"Clay","124","US-13061","13","61","2855","9","3","4343.26","105.08","0","0"
"Clayton","8253","US-13063","13","63","304838","701","175","2707.34","57.41","154.18","470"
"Clinch","450","US-13065","13","65","6656","32","12","6760.82","180.29","300.48","20"
"Cobb","21977","US-13067","13","67","790588","1975","457","2779.83","57.81","127.37","1007"
"Coffee","2260","US-13069","13","69","43042","325","60","5250.69","139.4","230.01","99"
"Colquitt","2132","US-13071","13","71","45393","168","40","4696.76","88.12","273.17","124"
