"","province","area_type","area_name","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","comment"
"186","河南省","city","郑州","6",NA,"0","0","0",NA
"187","湖南省","city","郴州","1",NA,"0","0","0",NA
"188","内蒙古自治区","city","鄂尔多斯","2",NA,"0","0","0",NA
"189","湖北省","city","鄂州","1",NA,"0","0","0",NA
"190","浙江省","city","金华","2",NA,"0","0","0",NA
"191","辽宁省","city","铁岭","2",NA,"0","0","0",NA
"192","贵州省","city","铜仁","2",NA,"0","0","0",NA
"193","陕西省","city","铜川","3",NA,"0","0","0",NA
"194","安徽省","city","铜陵","3",NA,"0","0","0",NA
"195","宁夏回族自治区","city","银川","1",NA,"0","0","0",NA
"196","内蒙古自治区","city","锡林郭勒","2",NA,"0","0","0",NA
"197","重庆市","city","长寿区","5",NA,"0","0","0",NA
"198","吉林省","city","长春","1",NA,"0","0","0",NA
"199","湖南省","city","长沙","8",NA,"0","0","0",NA
"200","山西省","city","长治","1",NA,"0","0","0",NA
"201","安徽省","city","阜阳","7",NA,"0","0","0",NA
"202","广西壮族自治区","city","防城港","2",NA,"0","0","0",NA
"203","广东省","city","阳江","5",NA,"0","0","0",NA
"204","海南省","city","陵水县","1",NA,"0","0","0",NA
"205","湖北省","city","随州","5",NA,"0","0","0",NA
"206","四川省","city","雅安","1",NA,"0","0","0",NA
"207","山东省","city","青岛","6",NA,"0","0","0",NA
"208","广东省","city","韶关","3",NA,"0","0","0",NA
"209","北京市","city","顺义","1",NA,"0","0","0",NA
"210","安徽省","city","马鞍山","4",NA,"0","0","0",NA
"211","河南省","city","驻马店","2",NA,"0","0","0",NA
"212","湖北省","city","黄冈","64",NA,"0","0","0",NA
"213","湖北省","city","黄石","31",NA,"0","1","0",NA
"214","贵州省","city","黔南州","1",NA,"0","0","0",NA
"215","上海市","province","上海市","33",NA,"0","0","1",""
"216","云南省","province","云南省","11",NA,"0","0","0",""
"217","内蒙古自治区","province","内蒙古自治区","7",NA,"0","0","0",""
"218","北京市","province","北京市","41",NA,"0","0","2",""
"219","台湾","province","台湾","3",NA,"0","0","0",""
"220","吉林省","province","吉林省","4",NA,"0","0","0",""
"221","四川省","province","四川省","28",NA,"0","0","0",""
"222","天津市","province","天津市","10",NA,"0","0","0",""
"223","宁夏回族自治区","province","宁夏回族自治区","3",NA,"0","0","0",""
"224","安徽省","province","安徽省","39",NA,"0","0","0",""
"225","山东省","province","山东省","27",NA,"0","0","0",""
"226","山西省","province","山西省","6",NA,"0","0","0",""
"227","广东省","province","广东省","78",NA,"0","0","2",""
"228","广西壮族自治区","province","广西壮族自治区","23",NA,"0","0","0",""
"229","新疆维吾尔自治区","province","新疆维吾尔自治区","3",NA,"0","0","0",""
"230","江苏省","province","江苏省","18",NA,"0","0","1",""
"231","江西省","province","江西省","18",NA,"0","0","0",""
"232","河北省","province","河北省","8",NA,"0","1","0",""
"233","河南省","province","河南省","32",NA,"0","0","0",""
"234","浙江省","province","浙江省","62",NA,"0","0","1",""
"235","海南省","province","海南省","19",NA,"0","0","0",""
"236","湖北省","province","湖北省","761",NA,"0","40","32",""
"237","湖南省","province","湖南省","43",NA,"0","0","0",""
"238","澳门","province","澳门","2",NA,"0","0","0",""
"239","甘肃省","province","甘肃省","4",NA,"0","0","0",""
"240","福建省","province","福建省","18",NA,"20","0","0","福建地区新增疑似 20 例"
"241","贵州省","province","贵州省","4",NA,"0","0","0",""
"242","辽宁省","province","辽宁省","17",NA,"0","0","0",""
"243","重庆市","province","重庆市","57",NA,"0","0","0",""
"244","陕西省","province","陕西省","15",NA,"0","0","0",""
"245","青海省","province","青海省","1",NA,"0","0","0",""
"246","香港","province","香港","5",NA,"0","0","0",""
"247","黑龙江省","province","黑龙江省","9",NA,"0","1","0",""
