"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"202",271,"China","Jiangsu Province","Suzhou",20,0,0,0,1,"2020-29JAN"
"203",272,"China","Jiangsu Province","Taizhou",8,0,0,0,0,"2020-29JAN"
"204",273,"China","Jiangsu Province","Wuxi",9,0,0,0,0,"2020-29JAN"
"205",274,"China","Jiangsu Province","Xuzhou",8,0,0,0,0,"2020-29JAN"
"206",275,"China","Jiangsu Province","Yancheng",6,0,0,0,0,"2020-29JAN"
"207",276,"China","Jiangsu Province","Yangzhou",8,0,0,0,0,"2020-29JAN"
"208",277,"China","Jiangsu Province","Zhenjiang",2,0,0,0,0,"2020-29JAN"
"209",278,"China","Jiangxi Province","Fuzhou",9,0,0,0,0,"2020-29JAN"
"210",279,"China","Jiangxi Province","Ganzhou",16,0,0,0,0,"2020-29JAN"
"211",280,"China","Jiangxi Province","Ji'an",4,0,0,0,1,"2020-29JAN"
"212",281,"China","Jiangxi Province","Jingdezhen",2,0,0,0,0,"2020-29JAN"
"213",282,"China","Jiangxi Province","Jiujiang",16,0,0,0,0,"2020-29JAN"
"214",283,"China","Jiangxi Province","Nanchang",26,0,0,0,0,"2020-29JAN"
"215",285,"China","Jiangxi Province","Pingxiang",2,0,0,0,1,"2020-29JAN"
"216",286,"China","Jiangxi Province","Shangrao",9,0,0,0,0,"2020-29JAN"
"217",287,"China","Jiangxi Province","Xinyu",11,0,0,0,1,"2020-29JAN"
"218",288,"China","Jiangxi Province","Yichun",14,0,0,0,0,"2020-29JAN"
"219",289,"China","Jiangxi Province","Yingtan",1,0,0,0,0,"2020-29JAN"
"220",290,"China","Jilin Province","Baicheng",0,0,0,0,0,"2020-29JAN"
"221",291,"China","Jilin Province","Baishan",0,0,0,0,0,"2020-29JAN"
"222",292,"China","Jilin Province","Changchun",1,0,0,0,0,"2020-29JAN"
"223",293,"China","Jilin Province","Jilin",3,0,0,0,0,"2020-29JAN"
"224",294,"China","Jilin Province","Liaoyuan",0,0,0,0,0,"2020-29JAN"
"225",295,"China","Jilin Province","Siping",3,0,0,0,0,"2020-29JAN"
"226",297,"China","Jilin Province","Songyuan",2,0,0,0,0,"2020-29JAN"
"227",298,"China","Jilin Province","Tonghua",2,0,0,0,0,"2020-29JAN"
"228",300,"China","Jilin Province","Yanbian Korean Autonomous Prefecture",0,0,0,0,0,"2020-29JAN"
"229",301,"China","Liaoning Province","Anshan",0,0,0,0,0,"2020-29JAN"
"230",302,"China","Liaoning Province","Benxi",2,0,0,0,0,"2020-29JAN"
"231",303,"China","Liaoning Province","Chaoyang",4,0,0,0,0,"2020-29JAN"
"232",304,"China","Liaoning Province","Dalian",5,0,0,0,1,"2020-29JAN"
"233",305,"China","Liaoning Province","Dandong",5,0,0,0,0,"2020-29JAN"
"234",306,"China","Liaoning Province","Fushun",0,0,0,0,0,"2020-29JAN"
"235",307,"China","Liaoning Province","Fuxin",0,0,0,0,0,"2020-29JAN"
"236",308,"China","Liaoning Province","Huludao",4,0,0,0,0,"2020-29JAN"
"237",309,"China","Liaoning Province","Jinzhou",4,0,0,0,0,"2020-29JAN"
"238",311,"China","Liaoning Province","Liaoyang",1,0,0,0,0,"2020-29JAN"
"239",312,"China","Liaoning Province","Panjin",2,0,0,0,0,"2020-29JAN"
"240",313,"China","Liaoning Province","Shenyang",9,0,0,0,0,"2020-29JAN"
"241",314,"China","Liaoning Province","Tieling",2,0,0,0,0,"2020-29JAN"
"242",315,"China","Liaoning Province","Yingkou",1,0,0,0,0,"2020-29JAN"
"243",316,"China","Macao Special Administrative Region","Macao Special Administrative Region",0,0,0,0,0,"2020-29JAN"
"244",317,"China","Ningxia Hui Autonomous Region","Guyuan",1,0,0,0,0,"2020-29JAN"
