"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"222",292,"China","Jilin Province","Changchun",45,31,0,0,14,"2020-15FEB"
"223",293,"China","Jilin Province","Jilin",5,2,0,0,3,"2020-15FEB"
"224",294,"China","Jilin Province","Liaoyuan",7,6,0,0,1,"2020-15FEB"
"225",295,"China","Jilin Province","Siping",34,22,0,2,10,"2020-15FEB"
"226",297,"China","Jilin Province","Songyuan",2,1,0,0,1,"2020-15FEB"
"227",298,"China","Jilin Province","Tonghua",7,6,0,0,1,"2020-15FEB"
"228",300,"China","Jilin Province","Yanbian Korean Autonomous Prefecture",5,3,0,0,2,"2020-15FEB"
"229",301,"China","Liaoning Province","Anshan",4,4,0,0,0,"2020-15FEB"
"230",302,"China","Liaoning Province","Benxi",3,2,0,0,1,"2020-15FEB"
"231",303,"China","Liaoning Province","Chaoyang",6,4,0,0,2,"2020-15FEB"
"232",304,"China","Liaoning Province","Dalian",18,13,0,0,5,"2020-15FEB"
"233",305,"China","Liaoning Province","Dandong",7,3,0,0,4,"2020-15FEB"
"234",306,"China","Liaoning Province","Fushun",0,0,0,0,0,"2020-15FEB"
"235",307,"China","Liaoning Province","Fuxin",8,8,0,0,0,"2020-15FEB"
"236",308,"China","Liaoning Province","Huludao",11,10,0,1,0,"2020-15FEB"
"237",309,"China","Liaoning Province","Jinzhou",12,6,0,0,6,"2020-15FEB"
"238",311,"China","Liaoning Province","Liaoyang",3,1,0,0,2,"2020-15FEB"
"239",312,"China","Liaoning Province","Panjin",11,11,0,0,0,"2020-15FEB"
"240",313,"China","Liaoning Province","Shenyang",28,19,0,0,9,"2020-15FEB"
"241",314,"China","Liaoning Province","Tieling",7,6,0,0,1,"2020-15FEB"
"242",315,"China","Liaoning Province","Yingkou",1,0,0,0,1,"2020-15FEB"
"243",316,"China","Macao Special Administrative Region","Macao Special Administrative Region",0,0,0,0,0,"2020-15FEB"
"244",317,"China","Ningxia Hui Autonomous Region","Guyuan",5,3,0,0,2,"2020-15FEB"
"245",318,"China","Ningxia Hui Autonomous Region","Shizuishan",1,0,0,0,1,"2020-15FEB"
"246",320,"China","Ningxia Hui Autonomous Region","Wuzhong",27,21,0,0,6,"2020-15FEB"
"247",321,"China","Ningxia Hui Autonomous Region","Yinchuan",100,39,0,0,61,"2020-15FEB"
"248",324,"China","Ningxia Hui Autonomous Region","Zhongwei",3,0,0,0,3,"2020-15FEB"
"249",325,"China","Qinghai Province","Golog Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-15FEB"
"250",326,"China","Qinghai Province","Haibei Tibetan Autonomous Prefecture",3,1,0,0,2,"2020-15FEB"
"251",327,"China","Qinghai Province","Haidong",0,0,0,0,0,"2020-15FEB"
"252",328,"China","Qinghai Province","Hainan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-15FEB"
"253",329,"China","Qinghai Province","Haixi Mongolian Autonomous Prefecture",0,0,0,0,0,"2020-15FEB"
"254",330,"China","Qinghai Province","Huangnan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-15FEB"
"255",331,"China","Qinghai Province","Xining",15,4,0,0,11,"2020-15FEB"
"256",332,"China","Qinghai Province","Yushu Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-15FEB"
"257",333,"China","Shaanxi Province","Ankang",24,19,0,0,5,"2020-15FEB"
"258",334,"China","Shaanxi Province","Baoji",13,6,0,0,7,"2020-15FEB"
"259",335,"China","Shaanxi Province","Hanzhong",21,20,0,0,1,"2020-15FEB"
"260",336,"China","Shaanxi Province","Shangluo",7,5,0,0,2,"2020-15FEB"
"261",337,"China","Shaanxi Province","Tongchuan",8,4,0,0,4,"2020-15FEB"
"262",338,"China","Shaanxi Province","Weinan",31,28,0,0,3,"2020-15FEB"
"263",340,"China","Shaanxi Province","Xi'an",114,89,0,0,25,"2020-15FEB"
"264",341,"China","Shaanxi Province","Xianyang",35,25,0,0,10,"2020-15FEB"
"265",343,"China","Shaanxi Province","Yan'an",8,2,0,0,6,"2020-15FEB"
"266",344,"China","Shaanxi Province","Yulin",3,2,0,0,1,"2020-15FEB"
"267",345,"China","Shandong Province","Binzhou",14,5,0,0,9,"2020-15FEB"
"268",346,"China","Shandong Province","Dezhou",37,29,0,1,7,"2020-15FEB"
"269",347,"China","Shandong Province","Dongying",0,0,0,0,0,"2020-15FEB"
"270",348,"China","Shandong Province","Heze",18,7,0,0,11,"2020-15FEB"
"271",349,"China","Shandong Province","Jinan",47,36,0,0,11,"2020-15FEB"
"272",350,"China","Shandong Province","Jining",51,33,0,0,18,"2020-15FEB"
"273",351,"China","Shandong Province","Laiwu",0,0,0,0,0,"2020-15FEB"
"274",352,"China","Shandong Province","Liaocheng",38,28,0,0,10,"2020-15FEB"
"275",353,"China","Shandong Province","Linyi",47,18,0,0,29,"2020-15FEB"
"276",354,"China","Shandong Province","Qingdao",57,34,0,1,22,"2020-15FEB"
"277",355,"China","Shandong Province","Rizhao",16,13,0,0,3,"2020-15FEB"
"278",356,"China","Shandong Province","Tai'an",32,27,0,0,5,"2020-15FEB"
"279",357,"China","Shandong Province","Weifang",43,34,0,0,9,"2020-15FEB"
"280",358,"China","Shandong Province","Weihai",38,29,0,0,9,"2020-15FEB"
"281",359,"China","Shandong Province","Yantai",46,33,0,0,13,"2020-15FEB"
"282",360,"China","Shandong Province","Zaozhuang",24,20,0,0,4,"2020-15FEB"
"283",361,"China","Shandong Province","Zibo",29,25,0,0,4,"2020-15FEB"
"284",362,"China","Shanghai Municipality","Shanghai Municipality",328,203,0,1,124,"2020-15FEB"
"285",381,"China","Shanxi Province","Changzhi",8,8,0,0,0,"2020-15FEB"
"286",382,"China","Shanxi Province","Datong",12,8,0,0,4,"2020-15FEB"
"287",383,"China","Shanxi Province","Jincheng",9,7,0,0,2,"2020-15FEB"
"288",384,"China","Shanxi Province","Jinzhong",35,23,0,0,12,"2020-15FEB"
"289",385,"China","Shanxi Province","Linfen",2,1,0,0,1,"2020-15FEB"
"290",386,"China","Shanxi Province","Lüliang",6,0,0,0,6,"2020-15FEB"
"291",387,"China","Shanxi Province","Shuozhou",7,5,0,0,2,"2020-15FEB"
"292",388,"China","Shanxi Province","Taiyuan",19,13,0,0,6,"2020-15FEB"
"293",389,"China","Shanxi Province","Xinzhou",7,7,0,0,0,"2020-15FEB"
"294",390,"China","Shanxi Province","Yangquan",4,4,0,0,0,"2020-15FEB"
"295",391,"China","Shanxi Province","Yuncheng",19,6,0,0,13,"2020-15FEB"
"296",392,"China","Sichuan Province","Bazhong",24,23,0,0,1,"2020-15FEB"
"297",393,"China","Sichuan Province","Chengdu",139,94,0,1,44,"2020-15FEB"
"298",394,"China","Sichuan Province","Dazhou",36,31,0,0,5,"2020-15FEB"
"299",395,"China","Sichuan Province","Deyang",17,17,0,0,0,"2020-15FEB"
"300",396,"China","Sichuan Province","Garzê Tibetan Autonomous Prefecture",44,41,0,0,3,"2020-15FEB"
"301",397,"China","Sichuan Province","Guang'an",30,22,0,0,8,"2020-15FEB"
"302",398,"China","Sichuan Province","Guangyuan",6,4,0,0,2,"2020-15FEB"
"303",399,"China","Sichuan Province","Leshan",3,1,0,0,2,"2020-15FEB"
"304",400,"China","Sichuan Province","Liangshan Yi Autonomous Prefecture",11,6,0,0,5,"2020-15FEB"
"305",402,"China","Sichuan Province","Luzhou",19,17,0,0,2,"2020-15FEB"
"306",403,"China","Sichuan Province","Meishan",8,6,0,0,2,"2020-15FEB"
"307",404,"China","Sichuan Province","Mianyang",22,17,0,0,5,"2020-15FEB"
"308",405,"China","Sichuan Province","Nanchong",35,26,0,0,9,"2020-15FEB"
"309",406,"China","Sichuan Province","Neijiang",22,17,0,0,5,"2020-15FEB"
"310",407,"China","Sichuan Province","Ngawa Tibetan and Qiang Autonomous Prefecture",1,1,0,0,0,"2020-15FEB"
"311",408,"China","Sichuan Province","Panzhihua",13,3,0,0,10,"2020-15FEB"
"312",409,"China","Sichuan Province","Suining",10,6,0,0,4,"2020-15FEB"
