"ADM0_EN","ADM1_EN","ADM2_EN","date.of.notification"
"China","Jiangxi Province","Yichun",2020-01-24
"China","Jiangxi Province","Yingtan",2020-01-28
"China","Jilin Province","Baicheng",2020-02-08
"China","Jilin Province","Changchun",2020-01-23
"China","Jilin Province","Jilin",2020-01-24
"China","Jilin Province","Liaoyuan",2020-02-04
"China","Jilin Province","Siping",2020-01-27
"China","Jilin Province","Songyuan",2020-01-24
"China","Jilin Province","Tonghua",2020-01-29
"China","Jilin Province","Yanbian Korean Autonomous Prefecture",2020-01-30
"China","Liaoning Province","Anshan",2020-02-01
"China","Liaoning Province","Benxi",2020-01-25
"China","Liaoning Province","Chaoyang",2020-01-24
"China","Liaoning Province","Dalian",2020-01-22
"China","Liaoning Province","Dandong",2020-01-26
"China","Liaoning Province","Fushun",2020-01-22
"China","Liaoning Province","Fuxin",2020-02-01
"China","Liaoning Province","Huludao",2020-01-25
"China","Liaoning Province","Jinzhou",2020-01-28
"China","Liaoning Province","Liaoyang",2020-01-28
"China","Liaoning Province","Panjin",2020-01-26
"China","Liaoning Province","Shenyang",2020-01-23
"China","Liaoning Province","Tieling",2020-01-25
"China","Liaoning Province","Yingkou",2020-01-25
"China","Macao Special Administrative Region","Macao Special Administrative Region",2020-01-21
"China","Ningxia Hui Autonomous Region","Guyuan",2020-01-25
"China","Ningxia Hui Autonomous Region","Shizuishan",2020-02-04
"China","Ningxia Hui Autonomous Region","Wuzhong",2020-01-28
"China","Ningxia Hui Autonomous Region","Yinchuan",2020-01-22
"China","Ningxia Hui Autonomous Region","Zhongwei",2020-01-24
"China","Qinghai Province","Haibei Tibetan Autonomous Prefecture",2020-02-03
"China","Qinghai Province","Xining",2020-01-25
"China","Shaanxi Province","Ankang",2020-01-24
"China","Shaanxi Province","Baoji",2020-01-28
"China","Shaanxi Province","Hanzhong",2020-01-26
"China","Shaanxi Province","Shangluo",2020-01-25
"China","Shaanxi Province","Tongchuan",2020-01-25
"China","Shaanxi Province","Weinan",2020-01-27
"China","Shaanxi Province","Xi'an",2020-01-23
"China","Shaanxi Province","Xianyang",2020-01-23
"China","Shaanxi Province","Yan'an",2020-01-24
"China","Shaanxi Province","Yulin",2020-01-30
"China","Shandong Province","Binzhou",2020-01-25
"China","Shandong Province","Dezhou",2020-01-25
"China","Shandong Province","Heze",2020-01-25
"China","Shandong Province","Jinan",2020-01-24
"China","Shandong Province","Jining",2020-01-24
"China","Shandong Province","Liaocheng",2020-01-25
"China","Shandong Province","Linyi",2020-01-23
"China","Shandong Province","Qingdao",2020-01-21
"China","Shandong Province","Rizhao",2020-01-24
"China","Shandong Province","Tai'an",2020-01-28
"China","Shandong Province","Weifang",2020-01-24
"China","Shandong Province","Weihai",2020-01-22
"China","Shandong Province","Yantai",2020-01-24
"China","Shandong Province","Zaozhuang",2020-01-27
"China","Shandong Province","Zibo",2020-01-26
"China","Shanghai Municipality","Shanghai Municipality",2020-01-19
"China","Shanxi Province","Changzhi",2020-01-25
"China","Shanxi Province","Datong",2020-01-25
"China","Shanxi Province","Jincheng",2020-02-01
"China","Shanxi Province","Jinzhong",2020-01-26
"China","Shanxi Province","Linfen",2020-01-27
"China","Shanxi Province","Lüliang",2020-01-27
"China","Shanxi Province","Shuozhou",2020-01-27
"China","Shanxi Province","Taiyuan",2020-01-22
"China","Shanxi Province","Xinzhou",2020-02-01
"China","Shanxi Province","Yangquan",2020-01-26
"China","Shanxi Province","Yuncheng",2020-01-25
"China","Sichuan Province","Bazhong",2020-01-29
"China","Sichuan Province","Chengdu",2020-01-21
"China","Sichuan Province","Dazhou",2020-01-23
"China","Sichuan Province","Deyang",2020-01-24
"China","Sichuan Province","Garzê Tibetan Autonomous Prefecture",2020-01-26
"China","Sichuan Province","Guang'an",2020-01-22
"China","Sichuan Province","Guangyuan",2020-01-29
"China","Sichuan Province","Leshan",2020-01-26
"China","Sichuan Province","Liangshan Yi Autonomous Prefecture",2020-01-27
"China","Sichuan Province","Luzhou",2020-01-25
"China","Sichuan Province","Meishan",2020-01-26
"China","Sichuan Province","Mianyang",2020-01-22
"China","Sichuan Province","Nanchong",2020-01-26
"China","Sichuan Province","Neijiang",2020-01-25
"China","Sichuan Province","Ngawa Tibetan and Qiang Autonomous Prefecture",2020-01-31
"China","Sichuan Province","Panzhihua",2020-01-31
"China","Sichuan Province","Suining",2020-01-24
"China","Sichuan Province","Ya'an",2020-01-24
"China","Sichuan Province","Yibin",2020-01-27
"China","Sichuan Province","Zigong",2020-01-25
"China","Sichuan Province","Ziyang",2020-01-27
"China","Taiwan Province","Taiwan province",2020-01-21
"China","Tianjin Municipality","Tianjin Municipality",2020-01-21
"China","Tibet Autonomous Region","Lhasa",2020-02-04
"China","Xinjiang Uygur Autonomous Region","Aksu Prefecture",2020-01-31
"China","Xinjiang Uygur Autonomous Region","Bayingolin Mongolia Autonomous Prefecture",2020-02-06
"China","Xinjiang Uygur Autonomous Region","Changji Hui Autonomous Prefecture",2020-02-04
"China","Xinjiang Uygur Autonomous Region","Ili Kazak Autonomous Prefecture",2020-01-26
"China","Xinjiang Uygur Autonomous Region","Karamay",2020-01-28
"China","Xinjiang Uygur Autonomous Region","Kashi Prefecture",2020-07-20
"China","Xinjiang Uygur Autonomous Region","Shihezi",2020-01-29
"China","Xinjiang Uygur Autonomous Region","Tarbaĝatay Prefecture",2020-02-01
"China","Xinjiang Uygur Autonomous Region","Turpan",2020-01-28
"China","Xinjiang Uygur Autonomous Region","Ürümqi",2020-01-25
"China","Yunnan Province","Baoshan",2020-01-26
"China","Yunnan Province","Chuxiong Yi Autonomous Prefecture",2020-02-11
"China","Yunnan Province","Dali Bai Autonomous Prefecture",2020-02-11
"China","Yunnan Province","Dehong Dai and Jingpo Autonomous Prefecture",2020-02-11
"China","Yunnan Province","Honghe Hani and Yi Autonomous Prefecture",2020-01-25
"China","Yunnan Province","Kunming",2020-01-21
"China","Yunnan Province","Lijiang",2020-01-24
"China","Yunnan Province","Lincang",2020-02-01
"China","Yunnan Province","Pu'er",2020-01-29
"China","Yunnan Province","Qujing",2020-01-25
"China","Yunnan Province","Wenshan Zhuang and Miao Autonomous Prefecture",2020-02-11
"China","Yunnan Province","Xishuangbanna Dai Autonomous Prefecture",2020-01-24
"China","Yunnan Province","Yuxi",2020-01-25
"China","Yunnan Province","Zhaotong",2020-01-26
"China","Zhejiang Province","Hangzhou",2020-01-22
"China","Zhejiang Province","Huzhou",2020-01-26
"China","Zhejiang Province","Jiaxing",2020-01-24
"China","Zhejiang Province","Jinhua",2020-01-23
"China","Zhejiang Province","Lishui",2020-01-26
"China","Zhejiang Province","Ningbo",2020-01-21
"China","Zhejiang Province","Quzhou",2020-01-23
"China","Zhejiang Province","Shaoxing",2020-01-23
"China","Zhejiang Province","Taizhou",2020-01-22
"China","Zhejiang Province","Wenzhou",2020-01-21
"China","Zhejiang Province","Zhoushan",2020-01-22
"China","Gansu province","Area to be identified",NA
"China","Gansu province","Jiayuguan",NA
"China","Gansu province","Jiuquan",NA
"China","Gansu province","Wuwei",NA
"China","Guangdong Province","Area to be identified",NA
"China","Guangdong Province","Yunfu",NA
"China","Guangxi Zhuang Autonomous Region","Area to be identified",NA
"China","Guangxi Zhuang Autonomous Region","Chongzuo",NA
"China","Hainan Province","Baisha Li Autonomous County",NA
"China","Hainan Province","Tunchang County",NA
"China","Hainan Province","Wuzhishan City",NA
"China","Henan Province","Area to be identified",NA
"China","Inner Mongolia Autonomous Region","Alxa League",NA
"China","Jilin Province","Baishan",NA
"China","Qinghai Province","Golog Tibetan Autonomous Prefecture",NA
"China","Qinghai Province","Haidong",NA
"China","Qinghai Province","Hainan Tibetan Autonomous Prefecture",NA
"China","Qinghai Province","Haixi Mongolian Autonomous Prefecture",NA
