"","ADM0_EN","ADM1_EN","ADM2_EN"
"348","China","Shandong Province","Heze"
"349","China","Shandong Province","Jinan"
"350","China","Shandong Province","Jining"
"351","China","Shandong Province","Laiwu"
"352","China","Shandong Province","Liaocheng"
"353","China","Shandong Province","Linyi"
"354","China","Shandong Province","Qingdao"
"355","China","Shandong Province","Rizhao"
"356","China","Shandong Province","Tai'an"
"357","China","Shandong Province","Weifang"
"358","China","Shandong Province","Weihai"
"359","China","Shandong Province","Yantai"
"360","China","Shandong Province","Zaozhuang"
"361","China","Shandong Province","Zibo"
"362","China","Shanghai Municipality","Shanghai Municipality"
"381","China","Shanxi Province","Changzhi"
"382","China","Shanxi Province","Datong"
"383","China","Shanxi Province","Jincheng"
"384","China","Shanxi Province","Jinzhong"
"385","China","Shanxi Province","Linfen"
"386","China","Shanxi Province","Lüliang"
"387","China","Shanxi Province","Shuozhou"
"388","China","Shanxi Province","Taiyuan"
"389","China","Shanxi Province","Xinzhou"
"390","China","Shanxi Province","Yangquan"
"391","China","Shanxi Province","Yuncheng"
"392","China","Sichuan Province","Bazhong"
"393","China","Sichuan Province","Chengdu"
"394","China","Sichuan Province","Dazhou"
"395","China","Sichuan Province","Deyang"
"396","China","Sichuan Province","Garzê Tibetan Autonomous Prefecture"
"397","China","Sichuan Province","Guang'an"
"398","China","Sichuan Province","Guangyuan"
"399","China","Sichuan Province","Leshan"
"400","China","Sichuan Province","Liangshan Yi Autonomous Prefecture"
"402","China","Sichuan Province","Luzhou"
"403","China","Sichuan Province","Meishan"
"404","China","Sichuan Province","Mianyang"
"405","China","Sichuan Province","Nanchong"
"406","China","Sichuan Province","Neijiang"
"407","China","Sichuan Province","Ngawa Tibetan and Qiang Autonomous Prefecture"
"408","China","Sichuan Province","Panzhihua"
"409","China","Sichuan Province","Suining"
"410","China","Sichuan Province","Ya'an"
"411","China","Sichuan Province","Yibin"
"412","China","Sichuan Province","Zigong"
"413","China","Sichuan Province","Ziyang"
"414","China","Taiwan Province","Taiwan province"
"415","China","Tianjin Municipality","Tianjin Municipality"
"432","China","Tibet Autonomous Region","Lhasa"
"433","China","Tibet Autonomous Region","Lhoka"
"434","China","Tibet Autonomous Region","Nagqu Prefecture"
"435","China","Tibet Autonomous Region","Ngari Prefecture"
"436","China","Tibet Autonomous Region","Nyingchi"
"437","China","Tibet Autonomous Region","Qamdo"
"438","China","Tibet Autonomous Region","Xigazê"
"439","China","Xinjiang Uygur Autonomous Region","Aksu Prefecture"
"440","China","Xinjiang Uygur Autonomous Region","Altay Prefecture"
"441","China","Xinjiang Uygur Autonomous Region","Bayingolin Mongolia Autonomous Prefecture"
"443","China","Xinjiang Uygur Autonomous Region","Bortala Mongol Autonomous Prefecture"
"444","China","Xinjiang Uygur Autonomous Region","Changji Hui Autonomous Prefecture"
"448","China","Xinjiang Uygur Autonomous Region","Hami"
"449","China","Xinjiang Uygur Autonomous Region","Hotan Prefecture"
"450","China","Xinjiang Uygur Autonomous Region","Ili Kazak Autonomous Prefecture"
"452","China","Xinjiang Uygur Autonomous Region","Karamay"
"455","China","Xinjiang Uygur Autonomous Region","Kashi Prefecture"
"456","China","Xinjiang Uygur Autonomous Region","Kizilsu Kirgiz Autonomous Prefecture"
"457","China","Xinjiang Uygur Autonomous Region","Shihezi"
"461","China","Xinjiang Uygur Autonomous Region","Tarbaĝatay Prefecture"
"464","China","Xinjiang Uygur Autonomous Region","Turpan"
"465","China","Xinjiang Uygur Autonomous Region","Ürümqi"
"467","China","Yunnan Province","Baoshan"
"468","China","Yunnan Province","Chuxiong Yi Autonomous Prefecture"
"469","China","Yunnan Province","Dali Bai Autonomous Prefecture"
"470","China","Yunnan Province","Dehong Dai and Jingpo Autonomous Prefecture"
"471","China","Yunnan Province","Dêqên Tibetan Autonomous Prefecture"
"472","China","Yunnan Province","Honghe Hani and Yi Autonomous Prefecture"
"474","China","Yunnan Province","Kunming"
"475","China","Yunnan Province","Lijiang"
"476","China","Yunnan Province","Lincang"
"477","China","Yunnan Province","Nujiang Lisu Autonomous Prefecture"
"478","China","Yunnan Province","Pu'er"
"479","China","Yunnan Province","Qujing"
"480","China","Yunnan Province","Wenshan Zhuang and Miao Autonomous Prefecture"
"481","China","Yunnan Province","Xishuangbanna Dai Autonomous Prefecture"
"483","China","Yunnan Province","Yuxi"
"484","China","Yunnan Province","Zhaotong"
"485","China","Zhejiang Province","Hangzhou"
"486","China","Zhejiang Province","Huzhou"
"487","China","Zhejiang Province","Jiaxing"
"488","China","Zhejiang Province","Jinhua"
"489","China","Zhejiang Province","Lishui"
"490","China","Zhejiang Province","Ningbo"
"491","China","Zhejiang Province","Quzhou"
"492","China","Zhejiang Province","Shaoxing"
"493","China","Zhejiang Province","Taizhou"
"494","China","Zhejiang Province","Wenzhou"
"495","China","Zhejiang Province","Zhoushan"
