"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"271","North Carolina","NC",2020-03-18 10:45:53,2020-03-08,21,2825,56,0,11
"272","North Carolina","NC",2020-03-18 10:45:53,2020-03-15,17,5626,90,0,12
"273","South Carolina","SC",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"274","South Carolina","SC",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"275","South Carolina","SC",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"276","South Carolina","SC",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"277","South Carolina","SC",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"278","South Carolina","SC",2020-03-18 10:45:53,2020-03-01,2,353,19,0,10
"279","South Carolina","SC",2020-03-18 10:45:53,2020-03-08,17,2825,56,0,11
"280","South Carolina","SC",2020-03-18 10:45:53,2020-03-15,28,5626,90,0,12
"281","Tennessee","TN",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"282","Tennessee","TN",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"283","Tennessee","TN",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"284","Tennessee","TN",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"285","Tennessee","TN",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"286","Tennessee","TN",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"287","Tennessee","TN",2020-03-18 10:45:53,2020-03-08,31,2825,56,0,11
"288","Tennessee","TN",2020-03-18 10:45:53,2020-03-15,41,5626,90,0,12
"289","Texas","TX",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"290","Texas","TX",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"291","Texas","TX",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"292","Texas","TX",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"293","Texas","TX",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"294","Texas","TX",2020-03-18 10:45:53,2020-03-01,8,353,19,0,10
"295","Texas","TX",2020-03-18 10:45:53,2020-03-08,43,2825,56,0,11
"296","Texas","TX",2020-03-18 10:45:53,2020-03-15,13,5626,90,0,12
"297","Virginia","VA",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"298","Virginia","VA",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"299","Virginia","VA",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"300","Virginia","VA",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"301","Virginia","VA",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"302","Virginia","VA",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"303","Virginia","VA",2020-03-18 10:45:53,2020-03-08,40,2825,56,0,11
"304","Virginia","VA",2020-03-18 10:45:53,2020-03-15,26,5626,90,0,12
"305","West Virginia","WV",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"306","West Virginia","WV",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"307","West Virginia","WV",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"308","West Virginia","WV",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"309","West Virginia","WV",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"310","West Virginia","WV",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"311","West Virginia","WV",2020-03-18 10:45:53,2020-03-08,0,2825,56,0,11
"312","West Virginia","WV",2020-03-18 10:45:53,2020-03-15,1,5626,90,0,12
"313","Connecticut","CT",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"314","Connecticut","CT",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"315","Connecticut","CT",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"316","Connecticut","CT",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"317","Connecticut","CT",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"318","Connecticut","CT",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"319","Connecticut","CT",2020-03-18 10:45:53,2020-03-08,20,2825,56,0,11
"320","Connecticut","CT",2020-03-18 10:45:53,2020-03-15,48,5626,90,0,12
"321","District of Columbia","DC",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"322","District of Columbia","DC",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"323","District of Columbia","DC",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"324","District of Columbia","DC",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"325","District of Columbia","DC",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"326","District of Columbia","DC",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
