"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"137","Michigan","MI",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"138","Michigan","MI",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"139","Michigan","MI",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"140","Michigan","MI",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"141","Michigan","MI",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"142","Michigan","MI",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"143","Michigan","MI",2020-03-18 10:45:53,2020-03-08,33,2825,56,0,11
"144","Michigan","MI",2020-03-18 10:45:53,2020-03-15,32,5626,90,0,12
"145","Minnesota","MN",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"146","Minnesota","MN",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"147","Minnesota","MN",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"148","Minnesota","MN",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"149","Minnesota","MN",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"150","Minnesota","MN",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"151","Minnesota","MN",2020-03-18 10:45:53,2020-03-08,20,2825,56,0,11
"152","Minnesota","MN",2020-03-18 10:45:53,2020-03-15,39,5626,90,0,12
"153","Missouri","MO",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"154","Missouri","MO",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"155","Missouri","MO",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"156","Missouri","MO",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"157","Missouri","MO",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"158","Missouri","MO",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"159","Missouri","MO",2020-03-18 10:45:53,2020-03-08,4,2825,56,0,11
"160","Missouri","MO",2020-03-18 10:45:53,2020-03-15,10,5626,90,0,12
"161","North Dakota","ND",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"162","North Dakota","ND",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"163","North Dakota","ND",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"164","North Dakota","ND",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"165","North Dakota","ND",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"166","North Dakota","ND",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"167","North Dakota","ND",2020-03-18 10:45:53,2020-03-08,1,2825,56,0,11
"168","North Dakota","ND",2020-03-18 10:45:53,2020-03-15,2,5626,90,0,12
"169","Nebraska","NE",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"170","Nebraska","NE",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"171","Nebraska","NE",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"172","Nebraska","NE",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"173","Nebraska","NE",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"174","Nebraska","NE",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"175","Nebraska","NE",2020-03-18 10:45:53,2020-03-08,16,2825,56,0,11
"176","Nebraska","NE",2020-03-18 10:45:53,2020-03-15,4,5626,90,0,12
"177","Ohio","OH",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"178","Ohio","OH",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"179","Ohio","OH",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"180","Ohio","OH",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"181","Ohio","OH",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"182","Ohio","OH",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"183","Ohio","OH",2020-03-18 10:45:53,2020-03-08,26,2825,56,0,11
"184","Ohio","OH",2020-03-18 10:45:53,2020-03-15,41,5626,90,0,12
"185","Oklahoma","OK",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"186","Oklahoma","OK",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"187","Oklahoma","OK",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"188","Oklahoma","OK",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"189","Oklahoma","OK",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"190","Oklahoma","OK",2020-03-18 10:45:53,2020-03-01,1,353,19,0,10
"191","Oklahoma","OK",2020-03-18 10:45:53,2020-03-08,3,2825,56,0,11
"192","Oklahoma","OK",2020-03-18 10:45:53,2020-03-15,15,5626,90,0,12
"193","South Dakota","SD",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"194","South Dakota","SD",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"195","South Dakota","SD",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"196","South Dakota","SD",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"197","South Dakota","SD",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"198","South Dakota","SD",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"199","South Dakota","SD",2020-03-18 10:45:53,2020-03-08,9,2825,56,0,11
"200","South Dakota","SD",2020-03-18 10:45:53,2020-03-15,2,5626,90,0,12
"201","Wisconsin","WI",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"202","Wisconsin","WI",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"203","Wisconsin","WI",2020-03-18 10:45:53,2020-02-02,1,12,0,0,6
"204","Wisconsin","WI",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"205","Wisconsin","WI",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"206","Wisconsin","WI",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"207","Wisconsin","WI",2020-03-18 10:45:53,2020-03-08,26,2825,56,0,11
"208","Wisconsin","WI",2020-03-18 10:45:53,2020-03-15,45,5626,90,0,12
"209","Alabama","AL",2020-03-18 10:45:53,2020-01-19,0,3,0,0,4
"210","Alabama","AL",2020-03-18 10:45:53,2020-01-26,0,8,0,0,5
"211","Alabama","AL",2020-03-18 10:45:53,2020-02-02,0,12,0,0,6
"212","Alabama","AL",2020-03-18 10:45:53,2020-02-16,0,14,0,0,8
"213","Alabama","AL",2020-03-18 10:45:53,2020-02-23,0,24,1,0,9
"214","Alabama","AL",2020-03-18 10:45:53,2020-03-01,0,353,19,0,10
"215","Alabama","AL",2020-03-18 10:45:53,2020-03-08,12,2825,56,0,11
"216","Alabama","AL",2020-03-18 10:45:53,2020-03-15,24,5626,90,0,12
