,GID_0,NAME_0,GID_1,NL_NAME_0,NAME_1,NL_NAME_1,NL_Name_1_short,GID_2,NAME_2,VARNAME_2,NL_NAME_2,NL_NAME_2_short,TYPE_2,ENGTYPE_2,HASC_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,NL_NAME_3_short,TYPE_3,NL_NAME_4,ENGTYPE_3,CC_3,HASC_3,manual_addition,flags
181657,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.2_1,Baishan,,白山市,白山,,,,CHN.17.2.2_1,Changbai Korean,Chángbái Cháoxiǎnzú,长白朝鲜族自治县,,Zìzhìxiàn,,Autonomous County,NA,NA,autofill,
181541,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.2_1,Baishan,,白山市,白山,,,,CHN.17.2.3_1,Fusong,Fǔsōng,抚松县,,Xiàn,,County,NA,NA,autofill,
181625,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.2_1,Baishan,,白山市,白山,,,,CHN.17.2.4_1,Jiangyuan,Jiāngyuán,江源区,,Shìxiáqū,,District,NA,NA,autofill,
181542,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.2_1,Baishan,,白山市,白山,,,,CHN.17.2.5_1,Jingyu,Jìngyǔ,靖宇县,,Xiàn,,County,NA,NA,autofill,
181640,CHN,China,CHN.17_1,,Jilin,吉林,吉林省,CHN.17.2_1,Baishan,,白山市,白山,,,,CHN.17.2.6_1,Linjiang,Línjiāng,临江市,,Xiànjíshì,,County City,NA,NA,autofill,
183264,CHN,China,CHN.5_1,,Gansu,甘肅|甘肃,甘肃省,CHN.5.1_1,Baiyin,,白银市,白银,,,,CHN.5.1.1_1,Baiyin,Báiyín,白银区,,Shìxiáqū,,District,NA,NA,autofill,
183408,CHN,China,CHN.5_1,,Gansu,甘肅|甘肃,甘肃省,CHN.5.1_1,Baiyin,,白银市,白银,,,,CHN.5.1.2_1,Huining,Huìníng,会宁县,,Xiàn,,County,NA,NA,autofill,
182888,CHN,China,CHN.5_1,,Gansu,甘肅|甘肃,甘肃省,CHN.5.1_1,Baiyin,,白银市,白银,,,,CHN.5.1.3_1,Jingtai,Jǐngtài,景泰县,,Xiàn,,County,NA,NA,autofill,
183084,CHN,China,CHN.5_1,,Gansu,甘肅|甘肃,甘肃省,CHN.5.1_1,Baiyin,,白银市,白银,,,,CHN.5.1.4_1,Jingyuan,Jìngyuǎn,靖远县,,Xiàn,,County,NA,NA,autofill,
183227,CHN,China,CHN.5_1,,Gansu,甘肅|甘肃,甘肃省,CHN.5.1_1,Baiyin,,白银市,白银,,,,CHN.5.1.5_1,Pingchuan,Píngchuān,平川区,,Shìxiáqū,,District,NA,NA,autofill,
182521,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.1_1,Anguo,Ānguó,安国市,,Xiànjíshì,,County City,NA,NA,autofill,
182361,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.2_1,Anxin,Ānxīn,安新县,,Xiàn,,County,NA,NA,autofill,
182391,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.3_1,Baoding,NA,NA,,Xiànjíshì,,County City,NA,NA,autofill,
182508,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.4_1,Boye,Bóyě,博野县,,Xiàn,,County,NA,NA,autofill,
182473,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.5_1,Ding,NA,NA,,Xiàn,,County,NA,NA,autofill,
182269,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.6_1,Dingxing,Dìngxīng,定兴县,,Xiàn,,County,NA,NA,autofill,
182325,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.7_1,Fuping,Fùpíng,阜平县,,Xiàn,,County,NA,NA,autofill,
182440,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.8_1,Gaoyang,Gāoyáng,高阳县,,Xiàn,,County,NA,NA,autofill,
182101,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.9_1,Laishui,Láishuǐ,涞水县,,Xiàn,,County,NA,NA,autofill,
182166,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.10_1,Laiyuan,Láiyuán,涞源县,,Xiàn,,County,NA,NA,autofill,
182467,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.11_1,Li,Lǐ,蠡县,,Xiàn,,County,NA,NA,autofill,
182329,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.12_1,Mancheng,Mǎnchéng,满城县,,Xiàn,,County,NA,NA,autofill,
182396,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.13_1,Qing Yuan,NA,NA,,Xiàn,,County,NA,NA,autofill,
182386,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.14_1,Quyang,Qūyáng,曲阳县,,Xiàn,,County,NA,NA,autofill,
182326,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.15_1,Rongcheng,Róngchéng,容城县,,Xiàn,,County,NA,NA,autofill,
182319,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.16_1,Tang,Táng,唐县,,Xiàn,,County,NA,NA,autofill,
182332,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.17_1,Wan,NA,NA,,Xiàn,,County,NA,NA,autofill,
182431,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.18_1,Wangdu,Wàngdū,望都县,,Xiàn,,County,NA,NA,autofill,
182254,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.19_1,Xincheng,NA,NA,,Xiàn,,County,NA,NA,autofill,
182317,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.20_1,Xiong,Xióng,雄县,,Xiàn,,County,NA,NA,autofill,
182315,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.21_1,Xushui,Xúshuǐ,徐水县,,Xiàn,,County,NA,NA,autofill,
182189,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.22_1,Yi,Yì,易县,,Xiàn,,County,NA,NA,autofill,
182185,CHN,China,CHN.10_1,,Hebei,河北,河北省,CHN.10.1_1,Baoding,,保定市,保定,,,,CHN.10.1.23_1,Zhuo,NA,NA,,Xiàn,,County,NA,NA,autofill,
184698,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.2_1,Baoji,,宝鸡市,宝鸡,,,,CHN.22.2.1_1,Baoji Qū,Bǎojī,宝鸡区,,Shìxiáqū,,District,NA,NA,autofill,
184528,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.2_1,Baoji,,宝鸡市,宝鸡,,,,CHN.22.2.2_1,Baoji Xiàn,Bǎojī,宝鸡县,,Xiàn,,County,NA,NA,autofill,
184769,CHN,China,CHN.22_1,,Shaanxi,陝西|陕西,陕西省,CHN.22.2_1,Baoji,,宝鸡市,宝鸡,,,,CHN.22.2.3_1,Feng,Fèng,凤县,,Xiàn,,County,NA,NA,autofill,
