"age group","county name","cases","deaths","confirmed_case_hospitalization"
"30-39 years","DeKalb","21537","29","921"
"40-49 years","DeKalb","16349","63","998"
"50-59 years","DeKalb","13804","158","1273"
"60-69 years","DeKalb","8558","263","1362"
"70-79 years","DeKalb","4187","334","1020"
"80 & Older years","DeKalb","2295","420","710"
"<1 years","DeKalb","676","0","31"
"Unknown years","DeKalb","261","0","15"
"01-04 years","Decatur","161","0","2"
"05-09 years","Decatur","174","0","0"
"10-17 years","Decatur","409","0","1"
"18-29 years","Decatur","776","1","19"
"30-39 years","Decatur","573","1","11"
"40-49 years","Decatur","563","3","32"
"50-59 years","Decatur","472","10","45"
"60-69 years","Decatur","353","18","56"
"70-79 years","Decatur","209","24","41"
"80 & Older years","Decatur","123","23","26"
"<1 years","Decatur","48","0","0"
"Unknown years","Decatur","5","0","0"
"01-04 years","Dodge","26","0","0"
"05-09 years","Dodge","43","0","0"
"10-17 years","Dodge","184","1","2"
"18-29 years","Dodge","364","0","7"
"30-39 years","Dodge","237","2","10"
"40-49 years","Dodge","254","3","13"
"50-59 years","Dodge","242","6","23"
"60-69 years","Dodge","185","19","32"
"70-79 years","Dodge","100","18","24"
"80 & Older years","Dodge","66","15","16"
"<1 years","Dodge","11","0","0"
"01-04 years","Dooly","22","0","0"
"05-09 years","Dooly","39","0","0"
"10-17 years","Dooly","121","0","1"
"18-29 years","Dooly","224","1","5"
"30-39 years","Dooly","162","0","12"
"40-49 years","Dooly","205","2","14"
"50-59 years","Dooly","205","6","22"
"60-69 years","Dooly","169","11","27"
"70-79 years","Dooly","76","10","20"
"80 & Older years","Dooly","31","8","6"
"<1 years","Dooly","8","0","0"
"Unknown years","Dooly","7","0","0"
"01-04 years","Dougherty","243","0","5"
"05-09 years","Dougherty","521","0","0"
"10-17 years","Dougherty","1136","0","15"
"18-29 years","Dougherty","2183","3","146"
"30-39 years","Dougherty","1830","8","128"
"40-49 years","Dougherty","1549","31","172"
"50-59 years","Dougherty","1424","41","222"
"60-69 years","Dougherty","1138","103","334"
"70-79 years","Dougherty","598","90","229"
"80 & Older years","Dougherty","367","120","167"
"<1 years","Dougherty","96","0","9"
"Unknown years","Dougherty","7","0","0"
"01-04 years","Douglas","525","0","8"
"05-09 years","Douglas","931","0","9"
"10-17 years","Douglas","2578","1","27"
"18-29 years","Douglas","4913","0","71"
"30-39 years","Douglas","4202","8","108"
"40-49 years","Douglas","4371","14","174"
"50-59 years","Douglas","3760","33","231"
"60-69 years","Douglas","2066","63","240"
"70-79 years","Douglas","982","75","186"
"80 & Older years","Douglas","458","73","133"
"<1 years","Douglas","165","0","7"
"Unknown years","Douglas","23","0","1"
"01-04 years","Early","49","0","0"
"05-09 years","Early","63","0","0"
"10-17 years","Early","241","0","0"
"18-29 years","Early","287","1","10"
"30-39 years","Early","249","1","6"
"40-49 years","Early","260","1","13"
"50-59 years","Early","241","5","17"
"60-69 years","Early","157","12","21"
"70-79 years","Early","105","20","23"
"80 & Older years","Early","56","13","17"
"<1 years","Early","6","0","0"
"Unknown years","Early","2","0","0"
"01-04 years","Echols","11","0","0"
"05-09 years","Echols","9","0","0"
"10-17 years","Echols","33","0","1"
"18-29 years","Echols","144","0","2"
"30-39 years","Echols","69","1","4"
"40-49 years","Echols","53","0","1"
"50-59 years","Echols","52","1","2"
"60-69 years","Echols","25","0","1"
"70-79 years","Echols","21","2","3"
"80 & Older years","Echols","5","1","2"
"<1 years","Echols","3","0","0"
"01-04 years","Effingham","195","0","1"
"05-09 years","Effingham","405","0","3"
"10-17 years","Effingham","1001","0","2"
"18-29 years","Effingham","1468","1","14"
"30-39 years","Effingham","1445","4","43"
"40-49 years","Effingham","1241","10","70"
"50-59 years","Effingham","1112","32","113"
"60-69 years","Effingham","712","26","119"
"70-79 years","Effingham","369","39","110"
"80 & Older years","Effingham","162","41","50"
"<1 years","Effingham","66","0","5"
"Unknown years","Effingham","18","0","0"
"01-04 years","Elbert","40","0","0"
"05-09 years","Elbert","63","0","0"
"10-17 years","Elbert","166","0","3"
"18-29 years","Elbert","417","1","6"
"30-39 years","Elbert","315","0","13"
"40-49 years","Elbert","316","1","15"
"50-59 years","Elbert","333","2","32"
"60-69 years","Elbert","264","8","38"
"70-79 years","Elbert","203","24","51"
"80 & Older years","Elbert","151","37","51"
"<1 years","Elbert","19","0","4"
"Unknown years","Elbert","5","0","0"
"01-04 years","Emanuel","65","0","2"
"05-09 years","Emanuel","100","0","1"
"10-17 years","Emanuel","327","0","2"
"18-29 years","Emanuel","555","1","4"
"30-39 years","Emanuel","436","0","19"
"40-49 years","Emanuel","441","4","17"
"50-59 years","Emanuel","376","10","39"
"60-69 years","Emanuel","300","16","36"
"70-79 years","Emanuel","185","22","36"
"80 & Older years","Emanuel","75","21","25"
"<1 years","Emanuel","14","0","1"
"Unknown years","Emanuel","4","0","1"
"01-04 years","Evans","25","0","0"
"05-09 years","Evans","47","0","0"
"10-17 years","Evans","123","0","2"
"18-29 years","Evans","241","1","3"
"30-39 years","Evans","212","0","4"
"40-49 years","Evans","190","4","22"
"50-59 years","Evans","182","6","21"
"60-69 years","Evans","115","7","22"
"70-79 years","Evans","68","15","24"
"80 & Older years","Evans","25","4","14"
"<1 years","Evans","6","0","0"
"01-04 years","Fannin","34","0","1"
"05-09 years","Fannin","80","0","0"
"10-17 years","Fannin","291","0","2"
"18-29 years","Fannin","522","0","8"
"30-39 years","Fannin","401","2","12"
"40-49 years","Fannin","463","5","19"
"50-59 years","Fannin","591","7","46"
"60-69 years","Fannin","595","20","66"
"70-79 years","Fannin","407","26","76"
"80 & Older years","Fannin","202","38","56"
"<1 years","Fannin","9","0","1"
"Unknown years","Fannin","1","0","0"
"01-04 years","Fayette","252","0","2"
"05-09 years","Fayette","524","0","4"
"10-17 years","Fayette","1459","0","13"
