"","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE","source_type","source_url","who_by","access_date","notes","infection_date"
"154","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"155","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"156","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"157","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"158","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"159","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"160","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-09","","","",NA,"",NA
"161","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"162","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"163","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"164","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"165","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"166","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"167","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-10","","","",NA,"","2020-01-22"
"168","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"169","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"170","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"171","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"172","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"173","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"174","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"175","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"176","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-10","","","",NA,"",NA
"177","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"178","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"179","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"180","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"181","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"182","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"183","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-11","","","",NA,"","2020-01-22"
"184","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"185","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"186","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"187","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"188","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"189","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"190","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"191","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"192","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-11","","","",NA,"",NA
"193","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"194","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"195","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"196","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"197","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"198","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"199","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-12","","","",NA,"","2020-01-22"
"200","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"201","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"202","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"203","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"204","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"205","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"206","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"207","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"208","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-12","","","",NA,"",NA
"209","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"210","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"211","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"212","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"213","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"214","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"215","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-13","","","",NA,"","2020-01-22"
"216","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"217","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"218","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"219","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"220","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"221","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"222","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"223","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"224","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-13","","","",NA,"",NA
"225","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"226","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"227","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"228","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"229","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"230","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"231","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-14","","","",NA,"","2020-01-22"
"232","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"233","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"234","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"235","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"236","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"237","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"238","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"239","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"240","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-14","","","",NA,"",NA
"241","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"242","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"243","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"244","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"245","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"246","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"247","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-15","","","",NA,"","2020-01-22"
"248","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"249","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"250","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"251","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"252","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"253","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"254","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"255","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"256","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-15","","","",NA,"",NA
"257","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"258","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"259","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"260","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"261","China","Anhui Province","Chuzhou",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"262","China","Anhui Province","Fuyang",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"263","China","Anhui Province","Hefei",0,NA,0,0,NA,"2020-01-16","","","",NA,"","2020-01-22"
"264","China","Anhui Province","Huaibei",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"265","China","Anhui Province","Huainan",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"266","China","Anhui Province","Huangshan",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"267","China","Anhui Province","Lu'an",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"268","China","Anhui Province","Ma'anshan",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"269","China","Anhui Province","Suzhou",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"270","China","Anhui Province","Tongling",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"271","China","Anhui Province","Wuhu",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"272","China","Anhui Province","Xuancheng",0,NA,0,0,NA,"2020-01-16","","","",NA,"",NA
"273","China","Anhui Province","Anqing",0,NA,0,0,NA,"2020-01-17","","","",NA,"",NA
"274","China","Anhui Province","Bengbu",0,NA,0,0,NA,"2020-01-17","","","",NA,"",NA
"275","China","Anhui Province","Bozhou",0,NA,0,0,NA,"2020-01-17","","","",NA,"",NA
"276","China","Anhui Province","Chizhou",0,NA,0,0,NA,"2020-01-17","","","",NA,"",NA
